Country,Com,Noncom
Lesotho,0.43,0.32
Central African Republic,0.50,0.19
Somalia,0.51,0.17
Chad,0.48,0.16
Nigeria,0.44,0.15
Mozambique,0.38,0.18
Sierra Leone,0.39,0.17
Mali,0.39,0.15
Guinea,0.38,0.16
Niger,0.38,0.15
Democratic Republic of the Congo,0.38,0.16
South Sudan,0.39,0.13
Eswatini,0.28,0.21
Guinea-Bissau,0.34,0.16
Burkina Faso,0.33,0.16
Benin,0.33,0.17
Kiribati,0.16,0.34
Equatorial Guinea,0.34,0.16
Côte d'Ivoire,0.32,0.16
Cameroon,0.30,0.17
Angola,0.33,0.15
Liberia,0.33,0.14
Botswana,0.24,0.19
Zimbabwe,0.25,0.16
Zambia,0.29,0.14
Burundi,0.26,0.14
South Africa,0.19,0.21
Haiti,0.16,0.24
Togo,0.25,0.16
Guyana,0.10,0.27
